Line    1 | modem 1760932567     | 00000000
Line  547 | modem 1760933332     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110000 10111000 10000110 01000001
Line  548 | machine 1760933332   | 11111111 11111111 00101000 01000000 00000000 00000000 00000000 00000000 00000000 01110001 00100000 00011100 01010001 10001001 00001100 00110001 11000011 00001000 00000101 00000011 00000000 00100001 10000000 00000000 01111000 01000101 00000000 00000000 00000000 00000011 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 01000000 10100000 11111111 01010101 10000111
Line  549 | modem 1760933332     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 00000001 01001101 00000001 10011001 10110011 10110100
Line  550 | machine 1760933332   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000010 01101101 00000001 00000001 00110000 00010000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00111101 10001101 11110100
Line  551 | modem 1760933332     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110011 10111011 10000111 00000001
Line  552 | machine 1760933332   | 11111111 11111111 01000110 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000010 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000100 00000001 00000010 00000001 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00000111 00000101 00000101 00000101 00000000 00000001 01101001 00000000 00000000 00000000 00100100 00000001 01001100 00100100 00000010 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00111101 01100111 01000000
Line  553 | modem 1760933332     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  554 | machine 1760933333   | 11111111 11111111 00010010 01000000 00000000 00000000 00000000 00000000 00000000 01110100 00001111 01011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00101111 11001011 10011001
Line  555 | machine 1760933336   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00010000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01000001 01111101 11110000
Line  556 | modem 1760933336     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  557 | modem 1760933336     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  558 | machine 1760933336   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  559 | modem 1760933340     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  560 | machine 1760933340   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  561 | machine 1760933342   | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010010 00010000 00000010 00000000 00000001 11100101 00001011 00101011 11101110 11001011 10010011 10000000 10011110 00000001 10011011 00001010 11000100 01111001 01101110 11101111 10010110 00101000 01110110 01110111 10101101 11110000 11101001 11011100 10010011 11100001 11010000 11010000 11010110
Line  562 | modem 1760933342     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  563 | modem 1760933342     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110011 00000000 00000000 00111101 11010000 11100001
Line  564 | modem 1760933343     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000001 00010110 00000000 10010100 10110010 00010101
Line  565 | machine 1760933343   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  566 | modem 1760933343     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line  567 | modem 1760933343     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line  568 | modem 1760933343     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line  569 | modem 1760933344     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  570 | machine 1760933344   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  571 | modem 1760933345     | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00010000 00000010 00000000 00000001 01010010 01101110 01010011 01000110 01000111 01100101 01101011 01110011 00000001 10101011 01100000 10011000 11000011 01101010 11100001 10011100 00100100 11011101 10100000 00001111 01100111 01101000 00101001 01111001 00011111 11111010 00110010 01110101
Line  572 | machine 1760933345   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  573 | machine 1760933345   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00110000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01100001 11001000 10100101
Line  574 | modem 1760933345     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  575 | modem 1760933348     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  576 | machine 1760933348   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  577 | modem 1760933350     | 11111111 11111111 00100000 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00010000 00000000 01101000 11110101 10110101 11100110 00000111 11101001 00001010 00010100 00001100 00001001 00001010 00000010 00000000 00001000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 10110000 00000010 11110001
Line  578 | machine 1760933350   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  579 | modem 1760933352     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00001001 01010001 01100100 10000000
Line  580 | machine 1760933352   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  581 | modem 1760933352     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  582 | machine 1760933352   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  583 | modem 1760933361     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000010 00010101 00000000 10010100 01000010 11100101
Line  584 | machine 1760933361   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  585 | modem 1760933361     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 11101011 00110011 00101101 00000000
Line  586 | machine 1760933361   | 11111111 11111111 00101110 01000000 00000000 00000000 00000000 00000000 00000000 11101100 01000011 01000101 01000001 01000010 00111001 01010101 01010001 00110000 00110000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00110000 00110000 00110000 00110000 00110000 00110000 00110010 00110000 00110010 00110100 00110001 00110010 00110010 00110100 00000010 00100010 00000001 00000000 01111010 01100011 00011011
Line  587 | modem 1760933361     | 11111111 11111111 00001001 01000000 00000000 00000000 00000000 00000000 00000000 11101001 00000000 00110010 11110000 00100001
Line  588 | machine 1760933361   | 11111111 11111111 00101100 01000000 00000000 00000000 00000000 00000000 00000000 11101010 00000000 00110000 00110000 00110010 00110001 00111000 00110000 00110000 00110000 00110111 00111000 01000101 01001000 01000100 00110101 00110001 00110000 00111000 01000100 01010101 01011010 00110000 00110000 00110000 00110000 00110000 00110000 00110010 00110000 00110010 00110100 00110001 00110010 00110010 00110100 00000001 10010100 10001000 01011000
Line  589 | modem 1760933363     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000010 00010110 00000000 10010101 10110010 11100101
Line  590 | machine 1760933363   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  591 | modem 1760933403     | 00000000
Line  592 | machine 1760933403   | 00000000
Line  593 | machine 1760933403   | 11111111 11111111 00010010 01000000 00000000 00000000 00000000 00000000 00000000 00000100 00001111 01011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 10111111 00001010 00110011
Line  594 | modem 1760933404     | 11111111 11111111 00001010 00000000 00000000 00000000 00000000 00000000 00000000 01100001 00000000 00000111 01110010
Line  595 | machine 1760933405   | 11111111 11111111 00101110 01000000 00000000 00000000 00000000 00000000 00000000 01100010 01000101 00101011 00101011 00110010 00101110 00110001 00110111 00000000 00110010 00110000 00110010 00110100 00110001 00110010 00110010 00110100 11110001 00000000 00000000 00110000 00110000 00110000 00110000 00110000 00110000 00110000 00110001 00000000 01010101 00101101 01010111 01001101 01010100 00000000 00000000 00000000 00000000 00001100 10111100 01110100 10010001
Line  596 | modem 1760933405     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110000 10111000 10000110 01000001
Line  597 | machine 1760933405   | 11111111 11111111 00101000 01000000 00000000 00000000 00000000 00000000 00000000 01110001 00100000 00011100 01010001 10001001 00001100 00110001 11000011 00001000 00000101 00000011 00000000 00100001 10000000 00000000 01111000 01000101 00000000 00000000 00000000 00000011 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 01000000 10100000 11111111 01010101 10000111
Line  598 | modem 1760933405     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 00000001 01001101 00000001 10011001 10110011 10110100
Line  599 | machine 1760933405   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000010 01101101 00000001 00000001 00110000 00010000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00111101 10001101 11110100
Line  600 | modem 1760933405     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110011 10111011 10000111 00000001
Line  601 | machine 1760933405   | 11111111 11111111 01000110 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000010 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000100 00000001 00000010 00000001 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00000111 00000101 00000101 00000101 00000000 00000001 01101001 00000000 00000000 00000000 00100100 00000001 01001100 00100100 00000010 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00111101 01100111 01000000
Line  602 | modem 1760933405     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  603 | machine 1760933405   | 11111111 11111111 00010010 01000000 00000000 00000000 00000000 00000000 00000000 01110100 00001111 01011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00101111 11001011 10011001
Line  604 | machine 1760933408   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00010000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01000001 01111101 11110000
Line  605 | modem 1760933408     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  606 | modem 1760933408     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  607 | machine 1760933408   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  608 | modem 1760933412     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  609 | machine 1760933412   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  610 | machine 1760933414   | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010010 00010000 00000010 00000000 00000001 00000110 10001000 00110100 10110010 11011011 00010000 00000001 11010100 00000001 11000010 01000101 00100010 11001100 11111011 11001100 01000110 10101101 10100110 01010010 11110100 00110111 01101010 00010001 01110011 10100010 00100001 11101001 00100111
Line  611 | modem 1760933414     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  612 | modem 1760933415     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110011 00000000 00000000 00111101 11010000 11100001
Line  613 | modem 1760933415     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000010 00011011 00000000 10011010 00100010 11100001
Line  614 | machine 1760933415   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  615 | modem 1760933415     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line  616 | modem 1760933416     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line  617 | modem 1760933416     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line  618 | modem 1760933416     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  619 | machine 1760933416   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  620 | modem 1760933417     | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00010000 00000010 00000000 00000001 00111001 01001010 00110110 01101010 01101000 01001001 01010111 01000010 00000001 00101110 11111101 00000101 10111110 11110101 00011110 11011000 10111101 00010100 01001101 00111100 11000110 10111100 01101000 10110101 01101100 00110101 11101001 01011110
Line  621 | machine 1760933417   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  622 | machine 1760933418   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00110000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01100001 11001000 10100101
Line  623 | modem 1760933418     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  624 | modem 1760933421     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  625 | machine 1760933421   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  626 | modem 1760933422     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00001001 01010001 01100100 10000000
Line  627 | machine 1760933422   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  628 | modem 1760933423     | 11111111 11111111 00100000 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00010000 00000000 01101000 11110101 10110110 00101111 00000111 11101001 00001010 00010100 00001100 00001010 00010111 00000010 00000000 00001000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00001000 01010010 01111111
Line  629 | machine 1760933423   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  630 | modem 1760933424     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  631 | machine 1760933424   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  632 | modem 1760933433     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000010 00011010 00000000 10011001 10110010 11100000
Line  633 | machine 1760933433   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  634 | modem 1760933433     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 11101011 00110011 00101101 00000000
Line  635 | machine 1760933434   | 11111111 11111111 00101110 01000000 00000000 00000000 00000000 00000000 00000000 11101100 01000011 01000101 01000001 01000010 00111001 01010101 01010001 00110000 00110000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00110000 00110000 00110000 00110000 00110000 00110000 00110010 00110000 00110010 00110100 00110001 00110010 00110010 00110100 00000010 00100010 00000001 00000000 01111010 01100011 00011011
Line  636 | modem 1760933434     | 11111111 11111111 00001001 01000000 00000000 00000000 00000000 00000000 00000000 11101001 00000000 00110010 11110000 00100001
Line  637 | machine 1760933434   | 11111111 11111111 00101100 01000000 00000000 00000000 00000000 00000000 00000000 11101010 00000000 00110000 00110000 00110010 00110001 00111000 00110000 00110000 00110000 00110111 00111000 01000101 01001000 01000100 00110101 00110001 00110000 00111000 01000100 01010101 01011010 00110000 00110000 00110000 00110000 00110000 00110000 00110010 00110000 00110010 00110100 00110001 00110010 00110010 00110100 00000001 10010100 10001000 01011000
Line  638 | modem 1760933435     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000010 00011010 00000000 10011001 10110010 11100000
Line  639 | machine 1760933435   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  640 | machine 1760933479   | 11111111 11111111 00010010 01000000 00000000 00000000 00000000 00000000 00000000 00000100 00001111 01011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 10111111 00001010 00110011
Line  641 | modem 1760933481     | 11111111 11111111 00001010 00000000 00000000 00000000 00000000 00000000 00000000 01100001 00000000 00000111 01110010
Line  642 | machine 1760933481   | 11111111 11111111 00101110 01000000 00000000 00000000 00000000 00000000 00000000 01100010 01000101 00101011 00101011 00110010 00101110 00110001 00110111 00000000 00110010 00110000 00110010 00110100 00110001 00110010 00110010 00110100 11110001 00000000 00000000 00110000 00110000 00110000 00110000 00110000 00110000 00110000 00110001 00000000 01010101 00101101 01010111 01001101 01010100 00000000 00000000 00000000 00000000 00001100 10111100 01110100 10010001
Line  643 | modem 1760933481     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110000 10111000 10000110 01000001
Line  644 | machine 1760933481   | 11111111 11111111 00101000 01000000 00000000 00000000 00000000 00000000 00000000 01110001 00100000 00011100 01010001 10001001 00001100 00110001 11000011 00001000 00000101 00000011 00000000 00100001 10000000 00000000 01111000 01000101 00000000 00000000 00000000 00000011 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 01000000 10100000 11111111 01010101 10000111
Line  645 | modem 1760933481     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 00000001 01001101 00000001 10011001 10110011 10110100
Line  646 | machine 1760933481   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000010 01101101 00000001 00000001 00110000 00010000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00111101 10001101 11110100
Line  647 | modem 1760933481     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110011 10111011 10000111 00000001
Line  648 | machine 1760933481   | 11111111 11111111 01000110 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000010 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000100 00000001 00000010 00000001 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00000111 00000101 00000101 00000101 00000000 00000001 01101001 00000000 00000000 00000000 00100100 00000001 01001100 00100100 00000010 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00111101 01100111 01000000
Line  649 | modem 1760933481     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  650 | machine 1760933481   | 11111111 11111111 00010010 01000000 00000000 00000000 00000000 00000000 00000000 01110100 00001111 01011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00101111 11001011 10011001
Line  651 | machine 1760933484   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00010000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01000001 01111101 11110000
Line  652 | modem 1760933484     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  653 | modem 1760933484     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  654 | machine 1760933485   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  655 | modem 1760933488     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line  656 | machine 1760933489   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line  657 | machine 1760933490   | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010010 00010000 00000010 00000000 00000001 01110011 11010111 01001011 01010111 01100001 00010110 00110010 10110110 00000001 00100111 10011010 00011011 01100110 00010011 00110011 10001110 11000101 11011110 00110010 01111010 11011000 10111101 01000010 10001000 11001111 01101001 10010101 01101101
Line  658 | modem 1760933490     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
